"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"1381 Laholm","2012","primärkommunal förvaltning","60-64 år",304
"1381 Laholm","2012","primärkommunal förvaltning","65+ år",77
"1381 Laholm","2012","kommunalt ägda företag och organisationer","55-59 år",9
"1381 Laholm","2012","kommunalt ägda företag och organisationer","60-64 år",8
"1381 Laholm","2012","kommunalt ägda företag och organisationer","65+ år",1
"1381 Laholm","2013","primärkommunal förvaltning","55-59 år",341
"1381 Laholm","2013","primärkommunal förvaltning","60-64 år",299
"1381 Laholm","2013","primärkommunal förvaltning","65+ år",81
"1381 Laholm","2013","kommunalt ägda företag och organisationer","55-59 år",9
"1381 Laholm","2013","kommunalt ägda företag och organisationer","60-64 år",8
"1381 Laholm","2013","kommunalt ägda företag och organisationer","65+ år",1
"1381 Laholm","2014","primärkommunal förvaltning","55-59 år",325
"1381 Laholm","2014","primärkommunal förvaltning","60-64 år",308
"1381 Laholm","2014","primärkommunal förvaltning","65+ år",90
"1381 Laholm","2014","kommunalt ägda företag och organisationer","55-59 år",22
"1381 Laholm","2014","kommunalt ägda företag och organisationer","60-64 år",16
"1381 Laholm","2014","kommunalt ägda företag och organisationer","65+ år",5
"1381 Laholm","2015","primärkommunal förvaltning","55-59 år",344
"1381 Laholm","2015","primärkommunal förvaltning","60-64 år",337
"1381 Laholm","2015","primärkommunal förvaltning","65+ år",93
"1381 Laholm","2015","kommunalt ägda företag och organisationer","55-59 år",26
"1381 Laholm","2015","kommunalt ägda företag och organisationer","60-64 år",19
"1381 Laholm","2015","kommunalt ägda företag och organisationer","65+ år",5
"1381 Laholm","2016","primärkommunal förvaltning","55-59 år",342
"1381 Laholm","2016","primärkommunal förvaltning","60-64 år",306
"1381 Laholm","2016","primärkommunal förvaltning","65+ år",111
"1381 Laholm","2016","kommunalt ägda företag och organisationer","55-59 år",27
"1381 Laholm","2016","kommunalt ägda företag och organisationer","60-64 år",21
"1381 Laholm","2016","kommunalt ägda företag och organisationer","65+ år",5
"1381 Laholm","2017","primärkommunal förvaltning","55-59 år",343
"1381 Laholm","2017","primärkommunal förvaltning","60-64 år",302
"1381 Laholm","2017","primärkommunal förvaltning","65+ år",113
"1381 Laholm","2017","kommunalt ägda företag och organisationer","55-59 år",25
"1381 Laholm","2017","kommunalt ägda företag och organisationer","60-64 år",21
"1381 Laholm","2017","kommunalt ägda företag och organisationer","65+ år",6
"1382 Falkenberg","2008","primärkommunal förvaltning","55-59 år",524
"1382 Falkenberg","2008","primärkommunal förvaltning","60-64 år",469
"1382 Falkenberg","2008","primärkommunal förvaltning","65+ år",84
"1382 Falkenberg","2008","kommunalt ägda företag och organisationer","55-59 år",68
"1382 Falkenberg","2008","kommunalt ägda företag och organisationer","60-64 år",58
"1382 Falkenberg","2008","kommunalt ägda företag och organisationer","65+ år",9
"1382 Falkenberg","2009","primärkommunal förvaltning","55-59 år",512
"1382 Falkenberg","2009","primärkommunal förvaltning","60-64 år",444
"1382 Falkenberg","2009","primärkommunal förvaltning","65+ år",91
"1382 Falkenberg","2009","kommunalt ägda företag och organisationer","55-59 år",49
"1382 Falkenberg","2009","kommunalt ägda företag och organisationer","60-64 år",38
"1382 Falkenberg","2009","kommunalt ägda företag och organisationer","65+ år",8
"1382 Falkenberg","2010","primärkommunal förvaltning","55-59 år",499
"1382 Falkenberg","2010","primärkommunal förvaltning","60-64 år",444
"1382 Falkenberg","2010","primärkommunal förvaltning","65+ år",90
"1382 Falkenberg","2010","kommunalt ägda företag och organisationer","55-59 år",60
"1382 Falkenberg","2010","kommunalt ägda företag och organisationer","60-64 år",55
"1382 Falkenberg","2010","kommunalt ägda företag och organisationer","65+ år",8
"1382 Falkenberg","2011","primärkommunal förvaltning","55-59 år",492
"1382 Falkenberg","2011","primärkommunal förvaltning","60-64 år",449
"1382 Falkenberg","2011","primärkommunal förvaltning","65+ år",77
"1382 Falkenberg","2011","kommunalt ägda företag och organisationer","55-59 år",45
"1382 Falkenberg","2011","kommunalt ägda företag och organisationer","60-64 år",35
"1382 Falkenberg","2011","kommunalt ägda företag och organisationer","65+ år",6
"1382 Falkenberg","2012","primärkommunal förvaltning","55-59 år",511
"1382 Falkenberg","2012","primärkommunal förvaltning","60-64 år",430
"1382 Falkenberg","2012","primärkommunal förvaltning","65+ år",86
"1382 Falkenberg","2012","kommunalt ägda företag och organisationer","55-59 år",31
"1382 Falkenberg","2012","kommunalt ägda företag och organisationer","60-64 år",47
"1382 Falkenberg","2012","kommunalt ägda företag och organisationer","65+ år",7
"1382 Falkenberg","2013","primärkommunal förvaltning","55-59 år",442
"1382 Falkenberg","2013","primärkommunal förvaltning","60-64 år",383
"1382 Falkenberg","2013","primärkommunal förvaltning","65+ år",104
"1382 Falkenberg","2013","kommunalt ägda företag och organisationer","55-59 år",34
"1382 Falkenberg","2013","kommunalt ägda företag och organisationer","60-64 år",48
"1382 Falkenberg","2013","kommunalt ägda företag och organisationer","65+ år",13
"1382 Falkenberg","2014","primärkommunal förvaltning","55-59 år",438
"1382 Falkenberg","2014","primärkommunal förvaltning","60-64 år",381
"1382 Falkenberg","2014","primärkommunal förvaltning","65+ år",108
"1382 Falkenberg","2014","kommunalt ägda företag och organisationer","55-59 år",44
"1382 Falkenberg","2014","kommunalt ägda företag och organisationer","60-64 år",41
"1382 Falkenberg","2014","kommunalt ägda företag och organisationer","65+ år",11
"1382 Falkenberg","2015","primärkommunal förvaltning","55-59 år",453
"1382 Falkenberg","2015","primärkommunal förvaltning","60-64 år",380
"1382 Falkenberg","2015","primärkommunal förvaltning","65+ år",117
"1382 Falkenberg","2015","kommunalt ägda företag och organisationer","55-59 år",45
"1382 Falkenberg","2015","kommunalt ägda företag och organisationer","60-64 år",40
"1382 Falkenberg","2015","kommunalt ägda företag och organisationer","65+ år",13
"1382 Falkenberg","2016","primärkommunal förvaltning","55-59 år",464
"1382 Falkenberg","2016","primärkommunal förvaltning","60-64 år",394
"1382 Falkenberg","2016","primärkommunal förvaltning","65+ år",123
"1382 Falkenberg","2016","kommunalt ägda företag och organisationer","55-59 år",53
"1382 Falkenberg","2016","kommunalt ägda företag och organisationer","60-64 år",33
"1382 Falkenberg","2016","kommunalt ägda företag och organisationer","65+ år",10
"1382 Falkenberg","2017","primärkommunal förvaltning","55-59 år",458
"1382 Falkenberg","2017","primärkommunal förvaltning","60-64 år",427
"1382 Falkenberg","2017","primärkommunal förvaltning","65+ år",137
"1382 Falkenberg","2017","kommunalt ägda företag och organisationer","55-59 år",59
"1382 Falkenberg","2017","kommunalt ägda företag och organisationer","60-64 år",32
"1382 Falkenberg","2017","kommunalt ägda företag och organisationer","65+ år",9
"1383 Varberg","2008","primärkommunal förvaltning","55-59 år",759
"1383 Varberg","2008","primärkommunal förvaltning","60-64 år",691
"1383 Varberg","2008","primärkommunal förvaltning","65+ år",116
"1383 Varberg","2008","kommunalt ägda företag och organisationer","55-59 år",57
"1383 Varberg","2008","kommunalt ägda företag och organisationer","60-64 år",50
"1383 Varberg","2008","kommunalt ägda företag och organisationer","65+ år",6
"1383 Varberg","2009","primärkommunal förvaltning","55-59 år",716
"1383 Varberg","2009","primärkommunal förvaltning","60-64 år",677
"1383 Varberg","2009","primärkommunal förvaltning","65+ år",142
"1383 Varberg","2009","kommunalt ägda företag och organisationer","55-59 år",53
"1383 Varberg","2009","kommunalt ägda företag och organisationer","60-64 år",54
"1383 Varberg","2009","kommunalt ägda företag och organisationer","65+ år",7
"1383 Varberg","2010","primärkommunal förvaltning","55-59 år",704
"1383 Varberg","2010","primärkommunal förvaltning","60-64 år",666
"1383 Varberg","2010","primärkommunal förvaltning","65+ år",151
"1383 Varberg","2010","kommunalt ägda företag och organisationer","55-59 år",66
"1383 Varberg","2010","kommunalt ägda företag och organisationer","60-64 år",64
"1383 Varberg","2010","kommunalt ägda företag och organisationer","65+ år",14
"1383 Varberg","2011","primärkommunal förvaltning","55-59 år",739
"1383 Varberg","2011","primärkommunal förvaltning","60-64 år",648
"1383 Varberg","2011","primärkommunal förvaltning","65+ år",120
"1383 Varberg","2011","kommunalt ägda företag och organisationer","55-59 år",64
"1383 Varberg","2011","kommunalt ägda företag och organisationer","60-64 år",56
"1383 Varberg","2011","kommunalt ägda företag och organisationer","65+ år",14
"1383 Varberg","2012","primärkommunal förvaltning","55-59 år",750
"1383 Varberg","2012","primärkommunal förvaltning","60-64 år",632
"1383 Varberg","2012","primärkommunal förvaltning","65+ år",151
"1383 Varberg","2012","kommunalt ägda företag och organisationer","55-59 år",73
"1383 Varberg","2012","kommunalt ägda företag och organisationer","60-64 år",50
"1383 Varberg","2012","kommunalt ägda företag och organisationer","65+ år",15
"1383 Varberg","2013","primärkommunal förvaltning","55-59 år",714
"1383 Varberg","2013","primärkommunal förvaltning","60-64 år",630
"1383 Varberg","2013","primärkommunal förvaltning","65+ år",181
"1383 Varberg","2013","kommunalt ägda företag och organisationer","55-59 år",86
"1383 Varberg","2013","kommunalt ägda företag och organisationer","60-64 år",54
"1383 Varberg","2013","kommunalt ägda företag och organisationer","65+ år",17
"1383 Varberg","2014","primärkommunal förvaltning","55-59 år",722
"1383 Varberg","2014","primärkommunal förvaltning","60-64 år",632
"1383 Varberg","2014","primärkommunal förvaltning","65+ år",165
"1383 Varberg","2014","kommunalt ägda företag och organisationer","55-59 år",71
"1383 Varberg","2014","kommunalt ägda företag och organisationer","60-64 år",53
"1383 Varberg","2014","kommunalt ägda företag och organisationer","65+ år",16
"1383 Varberg","2015","primärkommunal förvaltning","55-59 år",739
"1383 Varberg","2015","primärkommunal förvaltning","60-64 år",614
"1383 Varberg","2015","primärkommunal förvaltning","65+ år",180
"1383 Varberg","2015","kommunalt ägda företag och organisationer","55-59 år",74
"1383 Varberg","2015","kommunalt ägda företag och organisationer","60-64 år",62
"1383 Varberg","2015","kommunalt ägda företag och organisationer","65+ år",23
"1383 Varberg","2016","primärkommunal förvaltning","55-59 år",732
"1383 Varberg","2016","primärkommunal förvaltning","60-64 år",637
"1383 Varberg","2016","primärkommunal förvaltning","65+ år",172
"1383 Varberg","2016","kommunalt ägda företag och organisationer","55-59 år",78
"1383 Varberg","2016","kommunalt ägda företag och organisationer","60-64 år",59
"1383 Varberg","2016","kommunalt ägda företag och organisationer","65+ år",21
"1383 Varberg","2017","primärkommunal förvaltning","55-59 år",739
"1383 Varberg","2017","primärkommunal förvaltning","60-64 år",643
"1383 Varberg","2017","primärkommunal förvaltning","65+ år",207
"1383 Varberg","2017","kommunalt ägda företag och organisationer","55-59 år",75
"1383 Varberg","2017","kommunalt ägda företag och organisationer","60-64 år",64
"1383 Varberg","2017","kommunalt ägda företag och organisationer","65+ år",19
"1384 Kungsbacka","2008","primärkommunal förvaltning","55-59 år",828
"1384 Kungsbacka","2008","primärkommunal förvaltning","60-64 år",870
"1384 Kungsbacka","2008","primärkommunal förvaltning","65+ år",205
"1384 Kungsbacka","2008","kommunalt ägda företag och organisationer","55-59 år",84
"1384 Kungsbacka","2008","kommunalt ägda företag och organisationer","60-64 år",97
"1384 Kungsbacka","2008","kommunalt ägda företag och organisationer","65+ år",18
"1384 Kungsbacka","2009","primärkommunal förvaltning","55-59 år",806
"1384 Kungsbacka","2009","primärkommunal förvaltning","60-64 år",829
"1384 Kungsbacka","2009","primärkommunal förvaltning","65+ år",239
"1384 Kungsbacka","2009","kommunalt ägda företag och organisationer","55-59 år",78
"1384 Kungsbacka","2009","kommunalt ägda företag och organisationer","60-64 år",93
"1384 Kungsbacka","2009","kommunalt ägda företag och organisationer","65+ år",27
"1384 Kungsbacka","2010","primärkommunal förvaltning","55-59 år",772
"1384 Kungsbacka","2010","primärkommunal förvaltning","60-64 år",807
"1384 Kungsbacka","2010","primärkommunal förvaltning","65+ år",251
"1384 Kungsbacka","2010","kommunalt ägda företag och organisationer","55-59 år",77
"1384 Kungsbacka","2010","kommunalt ägda företag och organisationer","60-64 år",91
"1384 Kungsbacka","2010","kommunalt ägda företag och organisationer","65+ år",26
"1384 Kungsbacka","2011","primärkommunal förvaltning","55-59 år",814
"1384 Kungsbacka","2011","primärkommunal förvaltning","60-64 år",781
"1384 Kungsbacka","2011","primärkommunal förvaltning","65+ år",246
"1384 Kungsbacka","2011","kommunalt ägda företag och organisationer","55-59 år",81
"1384 Kungsbacka","2011","kommunalt ägda företag och organisationer","60-64 år",75
"1384 Kungsbacka","2011","kommunalt ägda företag och organisationer","65+ år",27
"1384 Kungsbacka","2012","primärkommunal förvaltning","55-59 år",840
"1384 Kungsbacka","2012","primärkommunal förvaltning","60-64 år",762
"1384 Kungsbacka","2012","primärkommunal förvaltning","65+ år",254
"1384 Kungsbacka","2012","kommunalt ägda företag och organisationer","55-59 år",85
"1384 Kungsbacka","2012","kommunalt ägda företag och organisationer","60-64 år",72
"1384 Kungsbacka","2012","kommunalt ägda företag och organisationer","65+ år",18
"1384 Kungsbacka","2013","primärkommunal förvaltning","55-59 år",837
"1384 Kungsbacka","2013","primärkommunal förvaltning","60-64 år",716
"1384 Kungsbacka","2013","primärkommunal förvaltning","65+ år",287
"1384 Kungsbacka","2013","kommunalt ägda företag och organisationer","55-59 år",91
"1384 Kungsbacka","2013","kommunalt ägda företag och organisationer","60-64 år",66
"1384 Kungsbacka","2013","kommunalt ägda företag och organisationer","65+ år",27
"1384 Kungsbacka","2014","primärkommunal förvaltning","55-59 år",838
"1384 Kungsbacka","2014","primärkommunal förvaltning","60-64 år",681
"1384 Kungsbacka","2014","primärkommunal förvaltning","65+ år",287
"1384 Kungsbacka","2014","kommunalt ägda företag och organisationer","55-59 år",86
"1384 Kungsbacka","2014","kommunalt ägda företag och organisationer","60-64 år",58
"1384 Kungsbacka","2014","kommunalt ägda företag och organisationer","65+ år",29
"1384 Kungsbacka","2015","primärkommunal förvaltning","55-59 år",872
"1384 Kungsbacka","2015","primärkommunal förvaltning","60-64 år",665
"1384 Kungsbacka","2015","primärkommunal förvaltning","65+ år",262
"1384 Kungsbacka","2015","kommunalt ägda företag och organisationer","55-59 år",93
"1384 Kungsbacka","2015","kommunalt ägda företag och organisationer","60-64 år",55
"1384 Kungsbacka","2015","kommunalt ägda företag och organisationer","65+ år",35
"1384 Kungsbacka","2016","primärkommunal förvaltning","55-59 år",899
"1384 Kungsbacka","2016","primärkommunal förvaltning","60-64 år",713
"1384 Kungsbacka","2016","primärkommunal förvaltning","65+ år",302
"1384 Kungsbacka","2016","kommunalt ägda företag och organisationer","55-59 år",81
"1384 Kungsbacka","2016","kommunalt ägda företag och organisationer","60-64 år",54
"1384 Kungsbacka","2016","kommunalt ägda företag och organisationer","65+ år",29
"1384 Kungsbacka","2017","primärkommunal förvaltning","55-59 år",885
"1384 Kungsbacka","2017","primärkommunal förvaltning","60-64 år",758
"1384 Kungsbacka","2017","primärkommunal förvaltning","65+ år",316
"1384 Kungsbacka","2017","kommunalt ägda företag och organisationer","55-59 år",76
"1384 Kungsbacka","2017","kommunalt ägda företag och organisationer","60-64 år",59
"1384 Kungsbacka","2017","kommunalt ägda företag och organisationer","65+ år",33
"1401 Härryda","2008","primärkommunal förvaltning","55-59 år",377
"1401 Härryda","2008","primärkommunal förvaltning","60-64 år",361
"1401 Härryda","2008","primärkommunal förvaltning","65+ år",78
"1401 Härryda","2008","kommunalt ägda företag och organisationer","55-59 år",49
"1401 Härryda","2008","kommunalt ägda företag och organisationer","60-64 år",35
"1401 Härryda","2008","kommunalt ägda företag och organisationer","65+ år",9
"1401 Härryda","2009","primärkommunal förvaltning","55-59 år",361
"1401 Härryda","2009","primärkommunal förvaltning","60-64 år",351
"1401 Härryda","2009","primärkommunal förvaltning","65+ år",91
"1401 Härryda","2009","kommunalt ägda företag och organisationer","55-59 år",50
"1401 Härryda","2009","kommunalt ägda företag och organisationer","60-64 år",39
"1401 Härryda","2009","kommunalt ägda företag och organisationer","65+ år",9
"1401 Härryda","2010","primärkommunal förvaltning","55-59 år",352
"1401 Härryda","2010","primärkommunal förvaltning","60-64 år",341
"1401 Härryda","2010","primärkommunal förvaltning","65+ år",87
"1401 Härryda","2010","kommunalt ägda företag och organisationer","55-59 år",45
"1401 Härryda","2010","kommunalt ägda företag och organisationer","60-64 år",36
"1401 Härryda","2010","kommunalt ägda företag och organisationer","65+ år",8
"1401 Härryda","2011","primärkommunal förvaltning","55-59 år",360
"1401 Härryda","2011","primärkommunal förvaltning","60-64 år",325
"1401 Härryda","2011","primärkommunal förvaltning","65+ år",88
"1401 Härryda","2011","kommunalt ägda företag och organisationer","55-59 år",43
"1401 Härryda","2011","kommunalt ägda företag och organisationer","60-64 år",36
"1401 Härryda","2011","kommunalt ägda företag och organisationer","65+ år",5
"1401 Härryda","2012","primärkommunal förvaltning","55-59 år",361
"1401 Härryda","2012","primärkommunal förvaltning","60-64 år",318
"1401 Härryda","2012","primärkommunal förvaltning","65+ år",87
"1401 Härryda","2012","kommunalt ägda företag och organisationer","55-59 år",43
"1401 Härryda","2012","kommunalt ägda företag och organisationer","60-64 år",34
"1401 Härryda","2012","kommunalt ägda företag och organisationer","65+ år",11
"1401 Härryda","2013","primärkommunal förvaltning","55-59 år",344
"1401 Härryda","2013","primärkommunal förvaltning","60-64 år",308
"1401 Härryda","2013","primärkommunal förvaltning","65+ år",123
"1401 Härryda","2013","kommunalt ägda företag och organisationer","55-59 år",45
"1401 Härryda","2013","kommunalt ägda företag och organisationer","60-64 år",38
"1401 Härryda","2013","kommunalt ägda företag och organisationer","65+ år",7
"1401 Härryda","2014","primärkommunal förvaltning","55-59 år",342
"1401 Härryda","2014","primärkommunal förvaltning","60-64 år",300
"1401 Härryda","2014","primärkommunal förvaltning","65+ år",114
"1401 Härryda","2014","kommunalt ägda företag och organisationer","55-59 år",40
"1401 Härryda","2014","kommunalt ägda företag och organisationer","60-64 år",33
"1401 Härryda","2014","kommunalt ägda företag och organisationer","65+ år",14
"1401 Härryda","2015","primärkommunal förvaltning","55-59 år",356
"1401 Härryda","2015","primärkommunal förvaltning","60-64 år",301
"1401 Härryda","2015","primärkommunal förvaltning","65+ år",114
"1401 Härryda","2015","kommunalt ägda företag och organisationer","55-59 år",40
"1401 Härryda","2015","kommunalt ägda företag och organisationer","60-64 år",41
"1401 Härryda","2015","kommunalt ägda företag och organisationer","65+ år",9
"1401 Härryda","2016","primärkommunal förvaltning","55-59 år",369
"1401 Härryda","2016","primärkommunal förvaltning","60-64 år",312
"1401 Härryda","2016","primärkommunal förvaltning","65+ år",110
"1401 Härryda","2016","kommunalt ägda företag och organisationer","55-59 år",44
"1401 Härryda","2016","kommunalt ägda företag och organisationer","60-64 år",38
"1401 Härryda","2016","kommunalt ägda företag och organisationer","65+ år",8
"1401 Härryda","2017","primärkommunal förvaltning","55-59 år",395
"1401 Härryda","2017","primärkommunal förvaltning","60-64 år",309
"1401 Härryda","2017","primärkommunal förvaltning","65+ år",131
"1401 Härryda","2017","kommunalt ägda företag och organisationer","55-59 år",43
"1401 Härryda","2017","kommunalt ägda företag och organisationer","60-64 år",32
"1401 Härryda","2017","kommunalt ägda företag och organisationer","65+ år",14
"1402 Partille","2008","primärkommunal förvaltning","55-59 år",349
"1402 Partille","2008","primärkommunal förvaltning","60-64 år",300
"1402 Partille","2008","primärkommunal förvaltning","65+ år",67
"1402 Partille","2008","kommunalt ägda företag och organisationer","55-59 år",66
"1402 Partille","2008","kommunalt ägda företag och organisationer","60-64 år",56
"1402 Partille","2008","kommunalt ägda företag och organisationer","65+ år",6
"1402 Partille","2009","primärkommunal förvaltning","55-59 år",370
"1402 Partille","2009","primärkommunal förvaltning","60-64 år",297
"1402 Partille","2009","primärkommunal förvaltning","65+ år",84
"1402 Partille","2009","kommunalt ägda företag och organisationer","55-59 år",70
"1402 Partille","2009","kommunalt ägda företag och organisationer","60-64 år",57
"1402 Partille","2009","kommunalt ägda företag och organisationer","65+ år",7
"1402 Partille","2010","primärkommunal förvaltning","55-59 år",365
"1402 Partille","2010","primärkommunal förvaltning","60-64 år",292
"1402 Partille","2010","primärkommunal förvaltning","65+ år",91
"1402 Partille","2010","kommunalt ägda företag och organisationer","55-59 år",66
"1402 Partille","2010","kommunalt ägda företag och organisationer","60-64 år",58
"1402 Partille","2010","kommunalt ägda företag och organisationer","65+ år",9
"1402 Partille","2011","primärkommunal förvaltning","55-59 år",375
"1402 Partille","2011","primärkommunal förvaltning","60-64 år",305
"1402 Partille","2011","primärkommunal förvaltning","65+ år",68
"1402 Partille","2011","kommunalt ägda företag och organisationer","55-59 år",66
"1402 Partille","2011","kommunalt ägda företag och organisationer","60-64 år",49
"1402 Partille","2011","kommunalt ägda företag och organisationer","65+ år",11
"1402 Partille","2012","primärkommunal förvaltning","55-59 år",368
"1402 Partille","2012","primärkommunal förvaltning","60-64 år",313
"1402 Partille","2012","primärkommunal förvaltning","65+ år",69
"1402 Partille","2012","kommunalt ägda företag och organisationer","55-59 år",66
"1402 Partille","2012","kommunalt ägda företag och organisationer","60-64 år",45
"1402 Partille","2012","kommunalt ägda företag och organisationer","65+ år",15
"1402 Partille","2013","primärkommunal förvaltning","55-59 år",391
"1402 Partille","2013","primärkommunal förvaltning","60-64 år",303
"1402 Partille","2013","primärkommunal förvaltning","65+ år",89
"1402 Partille","2013","kommunalt ägda företag och organisationer","55-59 år",68
"1402 Partille","2013","kommunalt ägda företag och organisationer","60-64 år",54
"1402 Partille","2013","kommunalt ägda företag och organisationer","65+ år",14
"1402 Partille","2014","primärkommunal förvaltning","55-59 år",410
"1402 Partille","2014","primärkommunal förvaltning","60-64 år",307
"1402 Partille","2014","primärkommunal förvaltning","65+ år",87
"1402 Partille","2014","kommunalt ägda företag och organisationer","55-59 år",64
"1402 Partille","2014","kommunalt ägda företag och organisationer","60-64 år",46
"1402 Partille","2014","kommunalt ägda företag och organisationer","65+ år",14
"1402 Partille","2015","primärkommunal förvaltning","55-59 år",420
"1402 Partille","2015","primärkommunal förvaltning","60-64 år",319
"1402 Partille","2015","primärkommunal förvaltning","65+ år",102
"1402 Partille","2015","kommunalt ägda företag och organisationer","55-59 år",68
"1402 Partille","2015","kommunalt ägda företag och organisationer","60-64 år",49
"1402 Partille","2015","kommunalt ägda företag och organisationer","65+ år",12
"1402 Partille","2016","primärkommunal förvaltning","55-59 år",415
"1402 Partille","2016","primärkommunal förvaltning","60-64 år",339
"1402 Partille","2016","primärkommunal förvaltning","65+ år",114
"1402 Partille","2016","kommunalt ägda företag och organisationer","55-59 år",70
"1402 Partille","2016","kommunalt ägda företag och organisationer","60-64 år",51
"1402 Partille","2016","kommunalt ägda företag och organisationer","65+ år",11
"1402 Partille","2017","primärkommunal förvaltning","55-59 år",397
"1402 Partille","2017","primärkommunal förvaltning","60-64 år",347
"1402 Partille","2017","primärkommunal förvaltning","65+ år",129
"1402 Partille","2017","kommunalt ägda företag och organisationer","55-59 år",67
"1402 Partille","2017","kommunalt ägda företag och organisationer","60-64 år",52
"1402 Partille","2017","kommunalt ägda företag och organisationer","65+ år",16
"1407 Öckerö","2008","primärkommunal förvaltning","55-59 år",192
"1407 Öckerö","2008","primärkommunal förvaltning","60-64 år",176
"1407 Öckerö","2008","primärkommunal förvaltning","65+ år",44
"1407 Öckerö","2008","kommunalt ägda företag och organisationer","55-59 år",16
"1407 Öckerö","2008","kommunalt ägda företag och organisationer","60-64 år",23
"1407 Öckerö","2008","kommunalt ägda företag och organisationer","65+ år",3
"1407 Öckerö","2009","primärkommunal förvaltning","55-59 år",172
"1407 Öckerö","2009","primärkommunal förvaltning","60-64 år",182
"1407 Öckerö","2009","primärkommunal förvaltning","65+ år",52
"1407 Öckerö","2009","kommunalt ägda företag och organisationer","55-59 år",18
"1407 Öckerö","2009","kommunalt ägda företag och organisationer","60-64 år",25
"1407 Öckerö","2009","kommunalt ägda företag och organisationer","65+ år",1
"1407 Öckerö","2010","primärkommunal förvaltning","55-59 år",158
"1407 Öckerö","2010","primärkommunal förvaltning","60-64 år",178
"1407 Öckerö","2010","primärkommunal förvaltning","65+ år",63
"1407 Öckerö","2010","kommunalt ägda företag och organisationer","55-59 år",20
"1407 Öckerö","2010","kommunalt ägda företag och organisationer","60-64 år",25
"1407 Öckerö","2010","kommunalt ägda företag och organisationer","65+ år",3
"1407 Öckerö","2011","primärkommunal förvaltning","55-59 år",169
"1407 Öckerö","2011","primärkommunal förvaltning","60-64 år",167
"1407 Öckerö","2011","primärkommunal förvaltning","65+ år",59
"1407 Öckerö","2011","kommunalt ägda företag och organisationer","55-59 år",23
"1407 Öckerö","2011","kommunalt ägda företag och organisationer","60-64 år",24
"1407 Öckerö","2011","kommunalt ägda företag och organisationer","65+ år",3
"1407 Öckerö","2012","primärkommunal förvaltning","55-59 år",169
"1407 Öckerö","2012","primärkommunal förvaltning","60-64 år",172
"1407 Öckerö","2012","primärkommunal förvaltning","65+ år",56
"1407 Öckerö","2012","kommunalt ägda företag och organisationer","55-59 år",21
"1407 Öckerö","2012","kommunalt ägda företag och organisationer","60-64 år",18
"1407 Öckerö","2012","kommunalt ägda företag och organisationer","65+ år",8
"1407 Öckerö","2013","primärkommunal förvaltning","55-59 år",170
"1407 Öckerö","2013","primärkommunal förvaltning","60-64 år",181
"1407 Öckerö","2013","primärkommunal förvaltning","65+ år",68
"1407 Öckerö","2013","kommunalt ägda företag och organisationer","55-59 år",20
"1407 Öckerö","2013","kommunalt ägda företag och organisationer","60-64 år",17
"1407 Öckerö","2013","kommunalt ägda företag och organisationer","65+ år",10
"1407 Öckerö","2014","primärkommunal förvaltning","55-59 år",173
"1407 Öckerö","2014","primärkommunal förvaltning","60-64 år",167
"1407 Öckerö","2014","primärkommunal förvaltning","65+ år",77
"1407 Öckerö","2014","kommunalt ägda företag och organisationer","55-59 år",20
"1407 Öckerö","2014","kommunalt ägda företag och organisationer","60-64 år",17
"1407 Öckerö","2014","kommunalt ägda företag och organisationer","65+ år",9
"1407 Öckerö","2015","primärkommunal förvaltning","55-59 år",176
"1407 Öckerö","2015","primärkommunal förvaltning","60-64 år",163
"1407 Öckerö","2015","primärkommunal förvaltning","65+ år",67
"1407 Öckerö","2015","kommunalt ägda företag och organisationer","55-59 år",21
"1407 Öckerö","2015","kommunalt ägda företag och organisationer","60-64 år",19
"1407 Öckerö","2015","kommunalt ägda företag och organisationer","65+ år",5
"1407 Öckerö","2016","primärkommunal förvaltning","55-59 år",190
"1407 Öckerö","2016","primärkommunal förvaltning","60-64 år",169
"1407 Öckerö","2016","primärkommunal förvaltning","65+ år",72
"1407 Öckerö","2016","kommunalt ägda företag och organisationer","55-59 år",16
"1407 Öckerö","2016","kommunalt ägda företag och organisationer","60-64 år",15
"1407 Öckerö","2016","kommunalt ägda företag och organisationer","65+ år",2
"1407 Öckerö","2017","primärkommunal förvaltning","55-59 år",192
"1407 Öckerö","2017","primärkommunal förvaltning","60-64 år",166
"1407 Öckerö","2017","primärkommunal förvaltning","65+ år",93
"1407 Öckerö","2017","kommunalt ägda företag och organisationer","55-59 år",15
"1407 Öckerö","2017","kommunalt ägda företag och organisationer","60-64 år",8
"1407 Öckerö","2017","kommunalt ägda företag och organisationer","65+ år",4
"1415 Stenungsund","2008","primärkommunal förvaltning","55-59 år",272
"1415 Stenungsund","2008","primärkommunal förvaltning","60-64 år",245
"1415 Stenungsund","2008","primärkommunal förvaltning","65+ år",48
"1415 Stenungsund","2008","kommunalt ägda företag och organisationer","55-59 år",32
"1415 Stenungsund","2008","kommunalt ägda företag och organisationer","60-64 år",25
"1415 Stenungsund","2008","kommunalt ägda företag och organisationer","65+ år",2
"1415 Stenungsund","2009","primärkommunal förvaltning","55-59 år",273
"1415 Stenungsund","2009","primärkommunal förvaltning","60-64 år",234
"1415 Stenungsund","2009","primärkommunal förvaltning","65+ år",62
